Capital,UF,Ano,"PM2,5 média (µg/m³)",Dias >15 µg/m³ (%),Mortalidade geral,Masculino,Feminino,60–69,70–79,80+,"Fonte PM2,5"
Belém,PA,2018,18.71,50.7,11.16,11.12,11.2,9.97,14.53,22.39,https://doi.org/10.1016/j.tox.2026.154401
Boa Vista,RR,2018,16.9,46.3,15.01,15.33,14.62,16.17,22.08,27.88,https://doi.org/10.1016/j.tox.2026.154401
Macapá,AP,2018,12.91,23.6,11.72,11.75,11.67,9.12,16.75,18.4,https://doi.org/10.1016/j.tox.2026.154401
Manaus,AM,2018,18.53,49.6,10.1,9.49,11.08,8.82,13.87,19.46,https://doi.org/10.1016/j.tox.2026.154401
Palmas,TO,2018,34.14,36.2,7.66,7.35,8.06,4.35,12.79,16.95,https://doi.org/10.1016/j.tox.2026.154401
Porto Velho,RO,2018,47.08,47.9,13.32,12.99,13.84,11.43,16.74,30.46,https://doi.org/10.1016/j.tox.2026.154401
Rio Branco,AC,2018,30.08,32.1,11.86,12.9,10.78,12.45,15.71,32.54,https://doi.org/10.1016/j.tox.2026.154401
Belém,PA,2019,16.94,42.7,11.9,12.52,11.13,10.54,16.85,22.31,https://doi.org/10.1016/j.tox.2026.154401
Boa Vista,RR,2019,14.73,32.1,14.15,14.48,13.72,14.36,16.06,25.43,https://doi.org/10.1016/j.tox.2026.154401
Macapá,AP,2019,12.81,27.1,12.04,10.71,14.16,8.87,13.27,25.55,https://doi.org/10.1016/j.tox.2026.154401
Manaus,AM,2019,15.97,44.4,11.04,10.37,12.01,10.57,14.17,20.33,https://doi.org/10.1016/j.tox.2026.154401
Palmas,TO,2019,13.42,19.5,11.31,11.98,10.41,9.41,14.04,22.77,https://doi.org/10.1016/j.tox.2026.154401
Porto Velho,RO,2019,27.68,40.8,11.18,9.45,13.74,11.94,13.77,22.79,https://doi.org/10.1016/j.tox.2026.154401
Rio Branco,AC,2019,22.72,29.9,10.3,11.91,8.62,10.17,14.93,25.44,https://doi.org/10.1016/j.tox.2026.154401
Belém,PA,2020,17,44.8,13.13,12.15,14.37,13.04,15.26,26.17,https://doi.org/10.1016/j.tox.2026.154401
Boa Vista,RR,2020,13.25,26.5,15.99,13.8,19.22,17.92,16.67,25.66,https://doi.org/10.1016/j.tox.2026.154401
Macapá,AP,2020,12.37,24,11.37,10.16,13.29,10,11.9,15.84,https://doi.org/10.1016/j.tox.2026.154401
Manaus,AM,2020,19.65,46.4,13,11.71,15,11.36,17.99,26.66,https://doi.org/10.1016/j.tox.2026.154401
Palmas,TO,2020,10.47,15.6,7.81,7.63,8.09,9.57,7.5,11.45,https://doi.org/10.1016/j.tox.2026.154401
Porto Velho,RO,2020,16.47,30.3,7.8,8.19,7.16,7.66,10.06,16.35,https://doi.org/10.1016/j.tox.2026.154401
Rio Branco,AC,2020,12.93,17.5,13.77,13.03,14.69,13.5,21.29,34.12,https://doi.org/10.1016/j.tox.2026.154401
Belém,PA,2021,15.78,33.2,11.16,9.81,12.86,10.81,13.72,21.46,https://doi.org/10.1016/j.tox.2026.154401
Boa Vista,RR,2021,14.04,27.7,12.4,11.17,14.31,13.78,19.63,21.58,https://doi.org/10.1016/j.tox.2026.154401
Macapá,AP,2021,10.49,14.8,7.71,7.04,8.74,7.66,7.32,13.93,https://doi.org/10.1016/j.tox.2026.154401
Manaus,AM,2021,16.02,39.7,11.03,10.81,11.37,9.54,14.39,23.63,https://doi.org/10.1016/j.tox.2026.154401
Palmas,TO,2021,33.29,28.8,10.03,8.85,11.56,8.96,11.45,20.43,https://doi.org/10.1016/j.tox.2026.154401
Porto Velho,RO,2021,49.69,39.7,6.43,5.79,7.51,6.22,9.01,15.95,https://doi.org/10.1016/j.tox.2026.154401
Rio Branco,AC,2021,37.97,29,13.35,13.76,12.88,11.07,16.89,30.95,https://doi.org/10.1016/j.tox.2026.154401
Belém,PA,2022,14.91,37,11.14,11.16,11.12,9.21,14.02,18.84,https://doi.org/10.1016/j.tox.2026.154401
Boa Vista,RR,2022,13.65,26.8,10.4,10.22,10.67,10.14,15.04,18.89,https://doi.org/10.1016/j.tox.2026.154401
Macapá,AP,2022,11.81,23.3,12.54,11.26,14.42,9.88,15.03,21.38,https://doi.org/10.1016/j.tox.2026.154401
Manaus,AM,2022,14.49,35.1,9.48,8.86,10.39,8.17,14.56,19.79,https://doi.org/10.1016/j.tox.2026.154401
Palmas,TO,2022,13.21,18.1,9.65,8.55,11.11,13.25,13.53,18.56,https://doi.org/10.1016/j.tox.2026.154401
Porto Velho,RO,2022,19.83,27.7,7.02,6.5,7.81,6.23,9.5,15.02,https://doi.org/10.1016/j.tox.2026.154401
Rio Branco,AC,2022,15.48,19.2,8.07,8.71,7.35,9.61,12.76,16.3,https://doi.org/10.1016/j.tox.2026.154401
Belém,PA,2023,17.5,44.7,8.3,7.4,9.54,6.99,10.21,14.31,https://doi.org/10.1016/j.tox.2026.154401
Boa Vista,RR,2023,13.94,29.9,10.12,10.76,9.21,9.37,12.9,22.4,https://doi.org/10.1016/j.tox.2026.154401
Macapá,AP,2023,13.74,30.7,1.34,4.08,0.74,1.77,2.74,10.19,https://doi.org/10.1016/j.tox.2026.154401
Manaus,AM,2023,17.49,48.5,8.91,8.67,9.25,8.13,11.68,18.39,https://doi.org/10.1016/j.tox.2026.154401
Palmas,TO,2023,28.6,24.9,8.75,9.43,7.94,6,12.75,20,https://doi.org/10.1016/j.tox.2026.154401
Porto Velho,RO,2023,24.49,35.3,7.78,7.9,7.61,6.57,10.11,16.19,https://doi.org/10.1016/j.tox.2026.154401
Rio Branco,AC,2023,14.27,19.2,6.19,7.36,5.15,5.45,11.54,16.91,https://doi.org/10.1016/j.tox.2026.154401
