Capital,UF,Região,"PM2,5 média (µg/m³)","PM2,5 média seca (µg/m³)","PM2,5 P99 (µg/m³)","Dias PM2,5 >15 (%)",Mortalidade geral média 2010–2019,60–69 média,70–79 média,80+ média,"Fonte PM2,5"
Manaus,AM,Norte,17.87,24.67,65.21,47.62,8.713999999999999,8.520999999999997,11.702000000000002,17.062,https://doi.org/10.1590/0102-311XEN131422
Belém,PA,Norte,16.77,19.29,56.72,45.62,10.871,10.962,14.854999999999999,22.967000000000002,https://doi.org/10.1590/0102-311XEN131422
Porto Velho,RO,Norte,29.82,71.29,307.71,42.93,13.007,11.758000000000001,18.195,26.619,https://doi.org/10.1590/0102-311XEN131422
Brasília,DF,Centro-Oeste,14.86,20.94,67.15,36.11,8.46,7.797,10.744000000000002,16.663,https://doi.org/10.1590/0102-311XEN131422
Boa Vista,RR,Norte,14.61,17.61,48.09,34.49,10.966000000000001,11.968,14.846,19.935,https://doi.org/10.1590/0102-311XEN131422
Goiânia,GO,Centro-Oeste,14.23,16.08,45.33,34.36,6.420999999999999,6.689,9.502999999999998,15.729999999999999,https://doi.org/10.1590/0102-311XEN131422
Palmas,TO,Norte,17.13,36.28,115.49,30.41,10.176,8.660999999999998,13.403,19.721,https://doi.org/10.1590/0102-311XEN131422
Rio Branco,AC,Norte,18.51,40.99,152.72,30.14,12.851999999999999,12.266,18.816000000000003,32.714,https://doi.org/10.1590/0102-311XEN131422
Cuiabá,MT,Centro-Oeste,16.65,33.76,123.62,30.03,11.67,11.155000000000001,16.080000000000002,23.656,https://doi.org/10.1590/0102-311XEN131422
Macapá,AP,Norte,12.19,12.53,48.5,23.75,10.638,8.982000000000001,13.022,18.269,https://doi.org/10.1590/0102-311XEN131422
São Luís,MA,Nordeste,11.5,10.42,37.42,16.25,8.487,7.633,11.431000000000001,19.776999999999997,https://doi.org/10.1590/0102-311XEN131422
Campo Grande,MS,Centro-Oeste,8.62,12.4,41.17,10.52,9.235999999999999,8.888,12.166,17.993000000000002,https://doi.org/10.1590/0102-311XEN131422
